name,Body Position,Angle,Tool,Support,Resistance Type,Distraction,Accessory Movement,Mode of Movement,R+L,right_left_bool,reps_bool,resistance_bool,duration_bool,work_rest_bool,GIF link,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) Elbow Straight Leg Hip Extension Series+ Lateral Band Distraction (Waist),Prone,Incline,Medicine Ball (Feet Elevated),Elbow,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Elbow Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,Medicine Ball (Feet Elevated),Elbow,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Elbow Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,Medicine Ball (Feet Elevated),Elbow,Mini Band,,,,,,TRUE,,,,,,,,,,,,,,,
"Prone Decline (Feet Elevated on Medicine Ball) Elbow Mini Band""90,45,180"" Knee Extended Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Decline,Medicine Ball (Feet Elevated),Elbow,Mini Band,Lateral Band Distraction (Waist),Knee Extended (Knee Straight),Hip Extension Series,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) BOSU(dome up)Elbow Straight Leg Hip Extension Series,Prone,Incline,"BOSU (Dome Up)
Medicine Ball (Feet Elevated)",Elbow,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) BOSU(dome up)Elbow Straight Leg Hip Extension Series+ Lateral Band Distraction (Waist),Prone,Incline,"BOSU (Dome Up)
Medicine Ball (Feet Elevated)",Elbow,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome up)Elbow Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,"BOSU (Dome Up)
Medicine Ball (Feet Elevated)",Elbow,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome up)Elbow Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,"BOSU (Dome Up)
Medicine Ball (Feet Elevated)",Elbow,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Box) BOSU(dome up)Elbow Straight Leg Hip Extension Series,Prone,Incline,"Box (Feet Elevated)
BOSU (Dome Up)",Elbow,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Box) BOSU(dome up)Elbow Straight Leg Hip Extension Series + Lateral Band Distraction (Waist),Prone,Incline,"Box (Feet Elevated)
BOSU (Dome Up)",Elbow,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome up)Elbow Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,"Medicine Ball (feet elevated)
BOSU (Dome Up)",Elbow,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome up)Elbow Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,"Medicine Ball (feet elevated)
BOSU (Dome Up)",Elbow,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Incline Straight Arm Knee Extended Single Hip Extension(R+L),Prone,Incline,,Straight Arm,,,Single Leg,Hip Extension,(R+L),,TRUE,,,,,,,,,,,,,,,
Incline Straight Arm Single Leg Knee Extended Hip Abduction(R+L),Prone,Incline,,Straight Arm,,,"Single Leg
Knee Extended",,(R+L),,TRUE,,,,,,,,,,,,,,,
Incline Straight Arm Knee Flexed @ 90° Single Leg Hip Extension(R+L),Prone,Incline,,Straight Arm,,,Knee Flexed @ 90°,,(R+L),,TRUE,,,,,,,,,,,,,,,
"Incline Straight Arm Knee Flexed @ 90° ""Wet Cat""(R+L)",Prone,Incline,,Straight Arm,,,Knee Flexed @ 90°,Wet Cat,(R+L),,TRUE,,,,,,,,,,,,,,,
"Incline Neutral Grip (Stands) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,Push Up Stand Surface,Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Prone Neutral Grip (Stands) Straight Arm Knee Extended Straight Leg Eccentric Hip Extension (5 sec.) (R+L),Prone,Incline,Push Up Stand Surface,Straight Arm,,,"Knee Extended
Straight leg",Eccentric Hip Extension,(R+L),,TRUE,,,,,,,,,,,,,,,
Incline BOSU(dome down) Straight Arm Hip Extension Series,Prone,Incline,BOSU (dome down),Straight Arm,,,,,,,TRUE,,,,,,,,,,,,,,,
"Incline BOSU(dome down) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,BOSU (dome down),Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Incline BOSU(dome down) Straight Arm Mini Band Hip Extension Series + Lateral Band Distraction (Waist),Prone,Incline,BOSU (dome down),Straight Arm,,Lateral Band Distraction (Waist),,,,,TRUE,,,,,,,,,,,,,,,
Prone Neutral Grip (Stands) Straight Arm Mini Band Resisted (Ankles) Knee Extended Straight Leg Eccentric Hip Extension (5 sec.) (R+L),Prone,Incline,,Straight Arm,Mini Band Resisted (Ankles),,"Knee Extended
Straight Leg",Eccentric Hip Extension,(R+L),,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) Straight Arm Straight Leg Hip Extension Series,Prone,Incline,Medicine Ball (feet elevated),Straight Arm,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) Straight Arm Straight Leg Hip Extension Series+ Lateral Band Distraction (Waist),Prone,Incline,Medicine Ball (feet elevated),Straight Arm,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,Medicine Ball (feet elevated),Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Straight Arm Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,Medicine Ball (feet elevated),Straight Arm,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,Medicine Ball (feet elevated),Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Straight Arm Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,Medicine Ball (feet elevated),Straight Arm,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) Neutral Grip (Stands) Straight Arm Straight Leg Hip Extension Series,Prone,Incline,"Medicine Ball (feet elevated)
Neutral Grip (Stands)",Straight Arm,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) Neutral Grip (Stands) Straight Arm Straight Leg Hip Extension Series+ Lateral Band Distraction (Waist),Prone,Incline,"Medicine Ball (feet elevated)
Neutral Grip (Stands)",Straight Arm,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball)Neutral Grip (Stands) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,"Medicine Ball (feet elevated)
Neutral Grip (Stands)",Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Neutral Grip (Stands) Straight Arm Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,"Medicine Ball (feet elevated)
Neutral Grip (Stands)",Straight Arm,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
